je|vous
vous|moi
vous|m'
j'ai|vous avez
n'ai|n'avez
suis|êtes
votre|mon
moi-même|toi-même
toi-même|moi-même
toi|moi
toi|je
mon|votre
ma|votre                                
sont|suis
étions|étais
étais|étiez   
moi|vous
toi|moi
ton|mon
miens|votre
tiens|votre
tu as|j'ai
avez|ai
vais|allez
vas|vais
mes|vos
vos|mes
me|vous
m'|vous
t'|m'
achete|achetez
aime|aimez
alle|allez
appele|appelez
arrive|arrivez
attends|attendez
ai|avez
cherche|cherchez
commence|commencez
comprends|comprenez
connais|connaissez
crois|croyez
demande|demandez
deviens|devenez
dois|devez
dis|dites
donne|donnez
écoute|écoutez
écris|écrivez
emmerde|emmerdez
entends|entendez
entre|entrez
rêves|rêvez
reves|rêvez
es|êtes
fais|faites
joue|jouez
lis|lisez
mange|mangez
marche|marchez
mets|mettez
monte|montez
montre|montrez
parais|paraissez
parle|parlez
pars|partez
passe|passez
paye|payez
pense|pensez
perds|perdez
peux|pouvez
prends|prenez
rends|rendez
réponds|répondez
reprends|reprenez
reviens|revenez
sais|savez
sens|sentez
sors|sortez
suis|suivez
tiens|tenez
tombe|tombez
travaille|travaillez
trouve|trouvez
viens|venez
vis|vivez
vois|voyez
veux|voulez
